brand,market,url
L'Oréal,Gốc / Quốc tế,https://www.loreal.com
L'Oréal,Việt Nam,https://www.loreal.com/vn/
L'Oréal,Mỹ,https://www.loreal.com
L'Oréal,Anh,https://www.loreal.com/uk/
Maybelline,Gốc / Quốc tế,https://www.maybelline.com
Maybelline,Việt Nam,https://www.maybelline.com/vn/
Maybelline,Mỹ,https://www.maybelline.com
Maybelline,Anh,https://www.maybelline.com/uk/
e.l.f. Cosmetics,Gốc / Quốc tế,https://www.elfcosmetics.com
e.l.f. Cosmetics,Mỹ,https://www.elfcosmetics.com
e.l.f. Cosmetics,Anh,https://www.elfcosmetics.co.uk
CeraVe,Gốc / Quốc tế,https://www.cerave.com
CeraVe,Việt Nam,https://www.cerave.com/vn/
CeraVe,Mỹ,https://www.cerave.com
CeraVe,Anh,https://www.cerave.com/uk/
The Ordinary,Gốc / Quốc tế,https://www.theordinary.com
The Ordinary,Việt Nam,https://www.theordinary.com/vn/
The Ordinary,Mỹ,https://www.theordinary.com
The Ordinary,Anh,https://www.theordinary.com/uk/
Fenty Beauty,Gốc / Quốc tế,https://www.fentybeauty.com
Fenty Beauty,Mỹ,https://www.fentybeauty.com
Fenty Beauty,Anh,https://www.fentybeauty.co.uk
NYX Professional Makeup,Gốc / Quốc tế,https://www.nyxcosmetics.com
NYX Professional Makeup,Mỹ,https://www.nyxcosmetics.com
NYX Professional Makeup,Anh,https://www.nyxcosmetics.co.uk
Glossier,Gốc / Quốc tế,https://www.glossier.com
Glossier,Mỹ,https://www.glossier.com
Glossier,Anh,https://www.glossier.co.uk
Rare Beauty,Gốc / Quốc tế,https://www.rarebeauty.com
Rare Beauty,Mỹ,https://www.rarebeauty.com
Rare Beauty,Anh,https://www.rarebeauty.co.uk
Estée Lauder,Gốc / Quốc tế,https://www.esteelauder.com
Estée Lauder,Việt Nam,https://www.esteelauder.com/vn/
Estée Lauder,Mỹ,https://www.esteelauder.com
Estée Lauder,Anh,https://www.esteelauder.com/uk/
