brand,market,url
Zara,Gốc / Quốc tế,https://www.zara.com
Zara,Việt Nam,https://www.zara.com/vn/
Zara,Mỹ,https://www.zara.com/us/
Zara,Anh,https://www.zara.com/uk/
Zara,Nhật Bản,https://www.zara.com/jp/
Zara,Pháp,https://www.zara.com/fr/
Zara,Đức,https://www.zara.com/de/
Nike,Gốc / Quốc tế,https://www.nike.com
Nike,Việt Nam,https://www.nike.com/vn/
Nike,Mỹ,https://www.nike.com/us/
Nike,Anh,https://www.nike.com/uk/
Nike,Nhật Bản,https://www.nike.com/jp/
Nike,Pháp,https://www.nike.com/fr/
Nike,Đức,https://www.nike.com/de/
Adidas,Gốc / Quốc tế,https://www.adidas.com
Adidas,Việt Nam,https://www.adidas.com/vn/
Adidas,Mỹ,https://www.adidas.com/us/
Adidas,Anh,https://www.adidas.co.uk/
Adidas,Nhật Bản,https://www.adidas.com/jp/
Adidas,Pháp,https://www.adidas.com/fr/
Adidas,Đức,https://www.adidas.com/de/
Mango,Gốc / Quốc tế,https://www.mango.com
Mango,Việt Nam,https://www.mango.com/vn/
Mango,Mỹ,https://www.mango.com/us/
Mango,Anh,https://www.mango.com/uk/
Mango,Nhật Bản,https://www.mango.com/jp/
Mango,Pháp,https://www.mango.com/fr/
Mango,Đức,https://www.mango.com/de/
UNIQLO,Gốc / Quốc tế,https://www.uniqlo.com
UNIQLO,Việt Nam,https://www.uniqlo.com/vn/
UNIQLO,Mỹ,https://www.uniqlo.com/us/
UNIQLO,Anh,https://www.uniqlo.com/uk/
UNIQLO,Nhật Bản,https://www.uniqlo.com/jp/
UNIQLO,Pháp,https://www.uniqlo.com/fr/
UNIQLO,Đức,https://www.uniqlo.com/de/
H&M,Gốc / Quốc tế,https://www.hm.com
H&M,Việt Nam,https://www.hm.com/vn/
H&M,Mỹ,https://www.hm.com/us/
H&M,Anh,https://www.hm.com/uk/
H&M,Nhật Bản,https://www.hm.com/jp/
H&M,Pháp,https://www.hm.com/fr/
H&M,Đức,https://www.hm.com/de/
New Balance,Gốc / Quốc tế,https://www.newbalance.com
New Balance,Mỹ,https://www.newbalance.com
New Balance,Anh,https://www.newbalance.co.uk
PUMA,Gốc / Quốc tế,https://www.puma.com
PUMA,Mỹ,https://www.puma.com
PUMA,Anh,https://www.puma.co.uk
Louis Vuitton,Gốc / Quốc tế,https://www.louisvuitton.com
Louis Vuitton,Việt Nam,https://www.louisvuitton.com/vn/
Louis Vuitton,Mỹ,https://www.louisvuitton.com/us/
Louis Vuitton,Anh,https://www.louisvuitton.com/uk/
Louis Vuitton,Nhật Bản,https://www.louisvuitton.com/jp/
Louis Vuitton,Pháp,https://www.louisvuitton.com/fr/
Louis Vuitton,Đức,https://www.louisvuitton.com/de/
Coach,Gốc / Quốc tế,https://www.coach.com
Coach,Mỹ,https://www.coach.com
Coach,Anh,https://www.coach.co.uk
ASOS,Gốc / Quốc tế,https://www.asos.com
ASOS,Mỹ,https://www.asos.com
ASOS,Anh,https://www.asos.co.uk
UGG,Gốc / Quốc tế,https://www.ugg.com
UGG,Mỹ,https://www.ugg.com
UGG,Anh,https://www.ugg.co.uk
Vans,Gốc / Quốc tế,https://www.vans.com
Vans,Mỹ,https://www.vans.com
Vans,Anh,https://www.vans.co.uk
Hermès,Gốc / Quốc tế,https://www.hermes.com
Hermès,Mỹ,https://www.hermes.com
Hermès,Anh,https://www.hermes.co.uk
Levi's,Gốc / Quốc tế,https://www.levi.com
Levi's,Mỹ,https://www.levi.com
Levi's,Anh,https://www.levi.co.uk
Tommy Hilfiger,Gốc / Quốc tế,https://www.tommy.com
Tommy Hilfiger,Mỹ,https://www.tommy.com
